name,awards,publications,education
Atre,0,0,"Atre was born in 1940 in India and grew up in Panvel, a village near Mumbai.[7][8] She earned a Master of Science from the University of Poona, studying mathematics and statistics.[9][10] During her education, she also studied languages, gaining proficiency in speaking five different languages.[1] Atre went on to begin her graduate studies in mathematics and physics at the University of Heidelberg, writing her thesis on astronomy.[9][10][11] Because she needed to make large scale calculations to develop her thesis, she began studying computer programming, which led to an interest in the field of computer technology.[10][12] During her studies, she was hired by IBM in 1967. When her student visa expired three and a half years later, Atre and her husband immigrated to the United States.[1][10]
"
Babbage,2,12,
Bachman,5,18,
Backhouse,0,4,"Backhouse was born and raised in the Thorntree district of Middlesbrough, an industrial town in the north-east of England. In 1959, he won a place at the then all-male Acklam Hall Grammar School before going on to Churchill College, Cambridge, in 1966. His doctorate (Ph.D.) was completed under the supervision of Jim Cunningham at Imperial College London.
"
Backus,9,0,
Bacon,3,0,
Bader,1,0,"Bader is the son of chemistry professor Morris Bader and his wife Karen.[27] He is an Eagle Scout in the Boy Scouts of America, earning the rank in 1985.[28] Bader graduated from Liberty High School in Bethlehem, Pennsylvania in 1987.[29]
"
Bahl,0,0,
Barr,0,4,"Barr was born in New York City and grew up in Summit, New Jersey,[13] where he graduated from Summit High School in 1958.[14][15]
Growing up, he was inspired by the biographies of Ben Franklin, Marconi, Alexander Graham Bell, Wright Brothers, and Sikorsky as well as visits to the Franklin Institute in Philadelphia and the Museum of Natural History in New York City. In 2021, Barr and his wife Olga donated $1M to the Cade Museum for Creativity and Invention to support the museum's youth programming.[16]
"
Bartik,3,0,"Born Betty Jean Jennings in Gentry County, Missouri in 1924,[2] she was the sixth of seven children. Her father, William Smith Jennings (1893–1971) was from Alanthus Grove, where he was a schoolteacher as well as a farmer. Her mother, Lula May Spainhower (1887–1988) was from Alanthus. Jennings had three older brothers, William (January 10, 1915) Robert (March 15, 1918); and Raymond (January 23, 1922); two older sisters, Emma (August 11, 1916) and Lulu (August 22, 1919), and one younger sister, Mable (December 15, 1928).[3][4][5]
"
Barto,2,0,"Barto received his B.S. with distinction in mathematics from the University of Michigan in 1970, after having initially majored in naval architecture and engineering. After reading work by Michael Arbib and McCulloch and Pitts he became interested in using computers and mathematics to model the brain, and five years later was awarded a Ph.D. in computer science for a thesis on cellular automata.[2]
"
Bauer,0,5,
Bayer,1,0,
Bell,3,0,"Gordon Bell was born in Kirksville, Missouri. He grew up helping with the family business, Bell Electric, repairing appliances and wiring homes.[1]
"
Bellovin,0,11,
Berdichevsky,0,0,
Berners-Lee,8,0,
Bernstein,0,0,
Bernus,0,7,
Bhushan,0,0,
Bjørner,6,0,
Blaauw,0,3,
Black,5,0,"Sue Black was born in 1962 in Fareham, Hampshire.[7] She left school and home at 16, the earliest legal age. She married at 20 and soon had three children.[8]
"
Blei,4,0,
Blum,0,0,
Blum,3,4,"Blum was born to a Jewish family in New York City, where her mother was a science teacher.[3] They moved to Venezuela when Blum was nine.
After graduating from her Venezuelan high school at age 16, she studied architecture at Carnegie Institute of Technology (now Carnegie Mellon University) beginning in 1959.[4][5] With the assistance of Alan Perlis, she shifted fields to mathematics in 1960.[6] She married Manuel Blum, then a student at the Massachusetts Institute of Technology, and transferred in 1961 to Simmons College, a private women's liberal arts college in Boston.[4][5] Simmons did not have a strong mathematics program but she was eventually able to take Isadore Singer's mathematics classes at MIT,[7] graduating from Simmons with a B.S. in mathematics in 1963.[8][9]
"
Blum,5,0,"Blum was born to a Jewish family in Venezuela.[9] Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively, and his Ph.D. in mathematics in 1964 supervised by Marvin Minsky.[1][7]
"
Boehm,0,8,
Böhm,0,6,
Bollacker,0,0,
Bonwick,0,0,
Booch,2,7,"Booch earned his bachelor's degree in 1977 from the United States Air Force Academy and a master's degree in electrical engineering in 1979 from the University of California, Santa Barbara.[8]
"
Boole,0,0,
Booth,0,0,
Booth,0,0,"Kathleen Britten was born in Stourbridge, Worcestershire, England,[2] on 9 July 1922.[3][4] She obtained a BSc in mathematics from the University of London in 1944 and went on to get a PhD in Applied Mathematics in 1950. She married her colleague Andrew Donald Booth in 1950 and had two children.[5]
"
Borg,0,0,"Borg was born Anita Borg Naffz in Chicago, Illinois. She grew up in Palatine, Illinois; Kaneohe, Hawaii; and Mukilteo, Washington.[3] Borg got her first programming job in 1969. Although she loved math while growing up, she did not originally intend to go into computer science and taught herself how to program while working at a small insurance company.[4] She was awarded a PhD in Computer Science by New York University in 1981 for research investigating the synchronization efficiency of operating systems supervised by Robert Dewar and Gerald Belpaire.[1]
"
Bos,0,3,
Botvinnik,0,0,
Bowen,12,0,"Bowen was born in Oxford, the son of Humphry Bowen,[6] and was educated at the Dragon School, Bryanston School, prior to his matriculation at University College, Oxford (Oxford University) where he received the MA degree in Engineering Science.[6]
"
Bourne,1,0,
Bouwman,0,2,
Boyer,0,5,
Brandenburg,0,0,
Brassard,3,0,"Brassard received a Ph.D. in Computer Science from Cornell University in 1979, working in the field of cryptography with John Hopcroft as his advisor.[1]
"
Breed,2,3,
Bresenham,0,0,
Brin,0,0,"Sergey Mikhailovich Brin was born on August 21, 1973, in Moscow in the Soviet Union,[4] to Russian Jewish parents,[5] Mikhail and Eugenia Brin, both graduates of Moscow State University (MSU).[6] His father is a retired mathematics professor at the University of Maryland, and his mother is a researcher at NASA's Goddard Space Flight Center.[7][8]
"
Brown,0,0,"Brown received his primary and secondary school education in Delmar, New York, and then studied at the University of Pennsylvania, Moore School of Electrical Engineering where he received a B.S.E. degree in 1979 and an M.S.E. under advisor Ruzena Bajcsy in 1980.[1]
"
Hansen,1,10,"Per Brinch Hansen was born in Frederiksberg, an enclave surrounded by Copenhagen, Denmark. His father, Jørgen Brinch Hansen, worked as a civil engineer, becoming a leading expert in soil mechanics, and later accepting a professorship at Technical University of Denmark. His mother, Elsebeth Brinch Hansen (née Ring), was the daughter of Danish composer Oluf Ring and worked as a hairdresser before marrying.[1]
"
Brinkkemper,0,6,
Brooks,5,0,"Born on April 19, 1931, in Durham, North Carolina,[7] he attended Duke University, graduating in 1953 with a Bachelor of Science degree in physics, and he received a Ph.D. in applied mathematics (computer science) from Harvard University in 1956, supervised by Howard Aiken.[2]
"
Brooks,12,0,
Burnett,0,0,"Burnett was born in 1949, and is originally from Springfield, Illinois.
She studied at Miami University of Ohio from 1967 to 1970, brought there in part by their newly established program in computer science but eventually majoring in mathematics. After graduating, she became a software engineer for Procter & Gamble, the first women hired in a management position at their Ivorydale factory and research center in Cincinnati, Ohio.
She left soon after, following her husband to Santa Fe, New Mexico, where she started her own business, and then to Lawrence, Kansas.[1]
"
Butler,0,0,
Gil,0,0,
Camp,2,0,
Campbell-Kelly,0,0,"Campell-Kelly was educated at Sunderland Polytechnic where he was awarded a PhD in 1980 on the Foundations of computer programming in Britain 1945–1955.[6]
"
Candlin,0,9,
Canion,0,0,
Cantrill,0,0,
Cardelli,3,0,"He was born in Montecatini Terme, Italy. He attended the University of Pisa[7] before receiving his PhD from the University of Edinburgh in 1982[15] for research supervised by Gordon Plotkin.[4]
"
Carmack,0,0,
Caspersen,7,0,"Michael was born in Svendborg, Denmark. He went to Nordre Skole for primary and lower secondary school and to Svendborg Statsgymnasium for upper secondary school. He earned an M.Sc. in computer science from Aarhus University.[11]
"
Catmull,4,2,
Cerf,12,0,
Chaitin,0,0,
Cailliau,0,0,
Chaochen,1,0,
Chen,15,6,
Chiariglione,0,0,
Chou,0,0,"Chou studied computer science at Stanford University with a specialization in machine learning and artificial intelligence.[4] During that time, she interned at Google and Facebook, and went on to receive a master's degree in computer science. Describing her undergraduate experience studying computer science, Chou said she felt, ""really out of place"" and less confident than her male colleagues at the beginning and took time to realize that she was outperforming most of them in coursework.[6]
"
Church,0,0,
Ciaramella,0,0,
Clarke,4,0,
Cocke,4,0,
Codd,5,5,
Cohen,0,0,
Coldwater,0,0,
Colton,0,0,"Born in Nottingham, Colton graduated from the University of Durham in 1994 with a BSc degree in Mathematics. After a year spent as a programmer at a software company, he studied at the University of Liverpool, where he gained an MSc in Pure Mathematics in 1996. In 2000 he finished his PhD in Artificial Intelligence at the University of Edinburgh, having been supervised by Alan Bundy and Toby Walsh.
"
Colmerauer,0,0,
Comer,0,13,"Comer holds a BS in Mathematics and Physics from Houghton College earned in 1971 and a PhD in Computer Science from Pennsylvania State University earned in 1976. He is a Distinguished Professor of Computer Science and professor of electrical and computer engineering at Purdue University in the US. Beginning in the late 1970s he started his continuing research into TCP/IP, which has earned him international fame in the field of Computer Science and computer networking.
"
Compton,0,0,
Conway,2,16,"Conway was born on December 12, 1931, in Milwaukee, Wisconsin.[20]    He grew up in that state and attended Whitefish Bay High School in the Milwaukee County village of that name.[20]  He was awarded a John McMullen Regional Scholarship for the study of engineering.[21]
"
Cormack,0,0,
Cook,8,0,
Cooley,0,5,
Cooper,0,0,
Corbató,8,8,
Cosper,0,0,
Cousot,0,0,
Cox,4,0,
Cray,0,0,
Cristianini,4,0,"Cristianini holds a degree in physics from the University of Trieste, a Master in computational intelligence from the University of London and a PhD from the University of Bristol.[2] Previously he has been a professor of Artificial Intelligence at the University of Bristol, an associate professor at the University of California, Davis, and held visiting positions at other universities.[3]
"
Crowcroft,3,0,"Crowcroft was educated at Westminster School[11] and graduated with a Bachelor of Arts degree in physics in 1979 from the University of Cambridge where he was an undergraduate student of Trinity College, Cambridge. He then gained a Master of Science degree in computing in 1981 and PhD in 1993,[12] both from University College London.
"
Croft,0,0,"Croft earned a bachelor's degree with honors in 1973 and a master's degree in computer science in 1974 from Monash University in Melbourne, Australia.  He earned his Ph.D in computer science from the University of Cambridge in 1979 and joined the University of Massachusetts, Amherst faculty later that year.
"
Culler,2,0,
Curry,0,9,
Dadda,0,0,
Dahl,11,0,
Dahl,0,0,
Dam,0,0,
Das,0,0,
Daswani,0,0,
Date,0,0,
Davis,0,0,
Dean,0,2,"Dean received a B.S., summa cum laude, from the University of Minnesota in computer science and economics in 1990.[3] He received a Ph.D. in computer science from the University of Washington in 1996, working under Craig Chambers on compilers[4] and whole-program optimization techniques for object-oriented programming languages.[5] He was elected to the National Academy of Engineering in 2009, which recognized his work on ""the science and engineering of large-scale distributed computer systems"".[6]
"
Demaine,2,0,"Demaine was born in Halifax, Nova Scotia, to mathematician and sculptor Martin L. Demaine and Judy Anderson. From the age of 7, he was identified as a child prodigy and spent time traveling across North America with his father.[1] He was home-schooled during that time span until entering university at the age of 12.[2][3]
"
DeMarco,10,11,"Tom DeMarco was born in Hazleton, Pennsylvania. He received a BSEE degree in Electrical Engineering from Cornell University, a M.S. from Columbia University, and a diplôme from the University of Paris.[1]
"
DeMillo,0,0,"A Minnesota native, Richard DeMillo was born and raised in Hibbing, Minnesota and received his Bachelor of Arts in mathematics from the University of St. Thomas in St. Paul Minnesota in 1969 and a Ph.D. in information and computer science from Georgia Tech in 1972.
"
Denning,4,0,"Dorothy Elizabeth Robling, daughter of C. Lowell and Helen Watson Robling, grew up in Grand Rapids, Michigan.  She earned a Bachelor of Arts degree in mathematics in 1967 followed by a Master of Arts degree in 1969 at the University of Michigan. Her PhD thesis was on Secure Information Flow in Computer Systems and awarded in 1975 by Purdue University.[2]
"
Denning,6,7,"Denning was born January 6, 1942, in Queens, New York, and raised in Darien, Connecticut. He took an early interest in science, pursuing astronomy, botany, radio, and electronics while in grade school.  At Fairfield Prep, he submitted home-designed computers to the science fair in 1958, 1959, and 1960.  His second computer, which solved linear equations using pinball machine parts, won the grand prize.[3]
"
Dertouzos,0,0,
Dewdney,0,0,
Dewar,0,8,"Dewar was born in Oxford, England, one of two sons of the theoretical chemist Michael J. S. Dewar and Mary Dewar, née Williamson (d. 1994), a historian and scholar of English Tudor history.[2][3] In 1959, he moved with his parents from England to Chicago, Illinois, when his father accepted a teaching job at the University of Chicago.[4] Dewar attended the University of Chicago, earning a Bachelor of Science (B.S.) in 1964, and a Doctor of Philosophy (Ph.D.) in chemistry in 1968.[5] He began to work with computers during graduate school.[6]
"
Dham,0,0,
Dietz,0,5,
Diffie,6,2,"Diffie was born in Washington, D.C., the son of Justine Louise (Whitfield), a writer and scholar, and Bailey Wallys Diffie, who taught Iberian history and culture at City College of New York.[8] His interest in cryptography began at ""age 10 when his father, a professor, brought home the entire crypto shelf of the City College Library in New York.""[8]
"
Dijkstra,5,6,
Dillon,0,0,
Dix,0,5,
Dongarra,15,0,"Dongarra received a BSc degree in mathematics from Chicago State University in 1972 and a MSc degree in Computer Science from the Illinois Institute of Technology in 1973. In 1980, he received PhD in Applied Mathematics from the University of New Mexico under the supervision of Cleve Moler.[1]
"
Dorigo,0,5,
Dourish,0,7,
Draper,5,0,"Draper was born in Windsor, Missouri. He attended the University of Missouri in 1917, then transferred to Stanford University, California in 1919, from which he earned a B.A. in psychology in 1922. He matriculated at MIT in 1922, earning a Bachelor of Science degree in electrochemical engineering (1926), and Master of Science (1928), and a Doctor of Science (1938) degrees in physics.[3] Charles Stark Draper's relatives were prominent in his home state of Missouri, including his cousin, Governor Lloyd C. Stark.
"
Dumais,1,0,
Dunkels,0,0,
Dunn,2,0,"Dunn was born in Fort Wayne, Indiana. He went to high school in Lafayette, Indiana, where he worked in Purdue Biology laboratories after school and summers. He was the first in his family to go to college.
"
Dustdar,0,0,
Eades,0,0,
Easley,0,0,"Before the Civil Rights Movement, educational and career opportunities for African-American children were very limited. Segregation was prevalent, African-American children were educated separately from white children, and their schools were often inferior to white schools. Annie's mother told her that she could be anything, but she would have to work at it. She encouraged Annie to get a good education. From the fifth grade through high school, Annie attended Holy Family High School, and was valedictorian of her graduating class.[1] At a young age Annie had interest in becoming a nurse, but around the age of 16 she decided to study pharmacy.[2]
"
Ebbinkhuijsen,0,0,
Eckert,1,0,"Eckert was born in Philadelphia to wealthy real estate developer John Eckert, and was raised in a large house in Philadelphia's Germantown section. During elementary school, he was driven by chauffeur to William Penn Charter School, and in high school joined the Engineer's Club of Philadelphia and spent afternoons at the electronics laboratory of television inventor Philo Farnsworth in Chestnut Hill. He placed second in the country on the math portion of the College Board examination.[2]
"
Edelman,3,0,"Edelman received B.S. and M.S. degrees in mathematics from Yale University in 1984, and a Ph.D. in applied mathematics from MIT in 1989 under the direction of Lloyd N. Trefethen. Following a year at Thinking Machines Corporation, and at CERFACS[4] in France, Edelman went to U.C. Berkeley as a Morrey Assistant Professor and Levy Fellow, 1990–93. He joined the MIT faculty in applied mathematics in 1993.
"
Eich,0,0,
Emeagwali,0,2,"He traveled to the United States to study under a scholarship following completion of a course at the University of London. He received a bachelor's degree in mathematics from Oregon State University in 1977.[7] He later moved to Washington D.C., receiving in 1986 a master's degree from George Washington University in ocean and marine engineering, and a second master's in applied mathematics from the University of Maryland.[8] Next magazine suggested that Emeagwali claimed to have further degrees.[9][10] During this time, he worked as a civil engineer at the Bureau of Land Reclamation in Wyoming.
"
Emerson,2,0,"Emerson was born in Dallas, Texas. His early experiences with computing included exposure to BASIC, Fortran, and ALGOL 60 on the Dartmouth Time Sharing System and Burroughs large systems computers.[1]
He went on to receive a Bachelor of Science degree in mathematics from the University of Texas at Austin in 1976 and a Doctor of Philosophy degree in applied mathematics at Harvard University in 1981.[1]
"
Engelbart,6,0,"Engelbart was born in Portland, Oregon, on January 30, 1925, to Carl Louis Engelbart and Gladys Charlotte Amelia Munson Engelbart. His ancestors were of German, Swedish and Norwegian descent.[7]
"
Engelhardt,6,0,"Engelhardt received a Bachelor of Science in Symbolic Systems and a Master of Science in Computer Science from Stanford University. She received a PhD in 2008 from the University of California, Berkeley supervised by Michael I. Jordan.[3]  
"
Eppstein,0,5,
Ershov,0,0,
Estridge,0,0,
Etzioni,6,7,"Etzioni is the son of Israeli-American intellectual Amitai Etzioni.[6] He was the first student to major in computer science at Harvard University, where he earned a bachelor's degree in 1986. He earned a PhD from Carnegie Mellon University in January, 1991, supervised by Tom M. Mitchell.[7]
"
Evans,0,0,
Evans,1,0,
Even,0,0,
Fahlman,1,0,
Feigenbaum,3,0,"Feigenbaum was born in Weehawken, New Jersey in 1936 to a culturally Jewish family, and moved to nearby North Bergen, where he lived until the age of 16, when he left to start college.[9][10] His hometown did not have a secondary school of its own, and so he chose Weehawken High School for its college preparatory program.[10][11] He was inducted into his high school's hall of fame in 1996.[12]
"
Felten,2,0,
Finin,3,0,"Finin earned an undergraduate degree in Electrical Engineering from MIT in 1971 and a PhD in Computer Science from the University of Illinois at Urbana–Champaign in 1980.
"
Finkel,0,0,
Firesmith,0,8,
Flake,0,0,
Flowers,0,0,
Floyd,5,6,
Floyd,2,0,
Fogel,0,9,
Foley,6,4,"Foley was born in Pennsylvania. He attended Lehigh University in Bethlehem, Pennsylvania, where he graduated with a bachelor's degree in electrical engineering in 1964. Foley was initiated into the Phi Beta Kappa Society and Tau Beta Pi while at Lehigh. He received his Ph.D. in computer, information, and control engineering from the University of Michigan in 1969.[5]
"
Forbus,0,0,"Forbus earned a Bachelor of Science in computer science, Master of Science in computer science, and PhD in artificial intelligence from the Massachusetts Institute of Technology.[2]
"
Jr.,0,0,
Fortnow,4,0,
Fayed,0,0,
Fowler,0,9,
France,5,5,
Franke,0,12,
Fredkin,1,0,"Fredkin's mother and father were both Russian immigrants who met in Los Angeles, and he was the youngest child of four. His mother was a concert pianist, although she did not perform professionally. She died from cancer when he was 11. His father was a businessperson but had lost everything in the 1929 stock market crash and as a result, the family was relatively poor. At times he lived with other families or with his older sister. Eventually, his father remarried, and he and his sister moved back in. As a child, he was both entrepreneurial and interested in science and how things work. He did various weekend and after-school things to earn money, eventually handling a large newspaper delivery route. At age 10 he bought chemistry supplies and made his own fireworks, which were then illegal in Los Angeles. He did poorly in school because he didn't do homework. He graduated from John Marshall High School a semester early so that he could earn money for Caltech tuition and living expenses. Caltech later told him he had been admitted with the worst high school grades they had ever seen. He quit Caltech partway through his sophomore year.[4]
"
Freund,1,0,
Friedman,0,0,
Fischer,4,0,"She obtained both a B.A. degree, with honors, in Mathematics and Chemistry and an M.A. degree in Applied Mathematics from the University of British Columbia in 1952 and 1954, respectively. She then obtained her Ph.D. in Applied Mathematics and Computing at Cambridge University in 1957, pursuing coursework in quantum theory with Paul Dirac. She worked under the supervision of Douglas Hartree, whom she assisted in programming the Electronic Delay Storage Automatic Calculator (EDSAC) for atomic-structure calculations.
"
Fu,0,0,"Ping Fu was born in 1958 in Nanjing, China,[6][7] where her father was a professor at the Nanjing University of Aeronautics and Astronautics (NUAA).[8] Fu spent her childhood and early adulthood in China. She grew up during the Cultural Revolution, during which she was separated from both her parents for several years.[9][10] After the end of the Cultural Revolution, she attended the college that later became the Suzhou University[7][11] studying Chinese literature.[12] Fu has related in interviews and in her memoir that she chose to research China's one-child policy for her thesis and traveled to the countryside, where she found that infanticide of female infants was common, as was abortion, even late into pregnancy.[13][14]  Fu said that, after turning in her research, she believes it was passed to a newspaper editor who wrote an editorial on the infanticide of female children.[11][15][better source needed] Fu has stated that she was later briefly imprisoned by government officials and was told to leave the country.[16][17] After this event, she left school, without graduating.[18]
"
Fu,0,0,
Fukushima,1,0,"In 1958, Fukushima received his Bachelor of Engineering in electronics from Kyoto University.[1] He became a senior research scientist at the NHK Science & Technology Research Laboratories. In 1989, he joined the faculty of Osaka University.[1] In 1999, he joined the faculty of the University of Electro-Communications. In 2001, he joined the faculty of Tokyo University of Technology. From 2006 to 2010, he was a visiting professor at Kansai University.[1]
"
Fulkerson,2,0,"D. R. Fulkerson was born in Tamms, Illinois, the third of six children of Elbert and Emma Fulkerson. Fulkerson became an undergraduate at Southern Illinois University. His academic career was interrupted by military service during World War II. Having returned to complete his degree after the war, he went on to do a Ph.D. in mathematics at the University of Wisconsin–Madison under the supervision of Cyrus MacDuffee, who was a student of L. E. Dickson. Fulkerson received his Ph.D. in 1951.[2]
"
Gabriel,2,0,
Galil,3,0,"Zvi Galil was born in Tel Aviv in Mandatory Palestine in 1947. He completed both his B.Sc. (1970) and his M.Sc. (1971) in applied mathematics, both summa cum laude, at Tel Aviv University before earning his Ph.D. in computer science at Cornell University in 1975 under the supervision of John Hopcroft.[1] He then spent a year working as a post-doctorate researcher at IBM's Thomas J. Watson Research Center in Yorktown Heights, New York.[8]
"
Galler,0,0,"Galler attended the University of Chicago where he earned a BSc in mathematics at the University of Chicago (1947), followed by a MSc  from UCLA and a PhD from the University of Chicago (1955), advised by Paul Halmos and Marshall Stone. He joined the mathematics department at the University of Michigan (1955) where he taught the first programming course (1956) using an IBM 704. Galler helped to develop the computer language called the Michigan Algorithm Decoder (1959-) in use at several universities. He formed the Communication Sciences dept (1965), renamed Computer Sciences (CS), which became the Computer and Communications (CCS) dept (1984), and Computer Science Department in the 70s, where he retired in 1994. 
"
Garcia-Molina,1,0,
Garey,0,0,
Garis,0,0,
Gates,4,0,"William Henry Gates III was born on October 28, 1955, in Seattle, Washington[3] as the only son of William H. Gates Sr.[b] (1925–2020) and his first wife, Mary Maxwell Gates (1929–1994).[23] His ancestry includes English, German, and Irish/Scots-Irish.[24] His father was a prominent lawyer, and his mother served on the board of directors of First Interstate BancSystem and United Way of America. Gates's maternal grandfather was J. W. Maxwell, a national bank president. He also has an older sister Kristi (Kristianne) and a younger sister Libby. He is the fourth of his name in his family but is known as William Gates III or ""Trey"" (i.e., three) because his father had the ""II"" suffix.[25][26] The family lived in the Sand Point area of Seattle in a home that was damaged by a rare tornado when Gates was seven years old.[27]
"
Gelernter,2,0,"Gelernter grew up on Long Island, New York.[2] His father Herbert Gelernter was a physicist who, in the late 1950s and 1960s, became a pioneer in artificial intelligence and taught computer science at State University of New York at Stony Brook.[3][4] Gelernter's grandfather was a rabbi, and Gelernter grew up as a Reform Jew; he later became a follower of Orthodox Judaism.[5]
"
Gelobter,0,0,
Geschke,12,0,"Charles Matthew Geschke[4] was born in Cleveland, Ohio, on September 11, 1939.[5]  He attended Saint Ignatius High School.[6]
"
Ghahramani,2,0,"Ghahramani was educated at the American School of Madrid in Spain and the University of Pennsylvania where he was awarded a double major degree in Cognitive Science and Computer Science in 1990.[5] He obtained his Ph.D. from the Department of Brain and Cognitive Sciences at the Massachusetts Institute of Technology, supervised by Michael I. Jordan and Tomaso Poggio.[4][10]
"
Ghemawat,1,6,"Ghemawat studied at Cornell University and the Massachusetts Institute of Technology (MIT).[3] He obtained a PhD from MIT in 1995, with a dissertation titled, The Modified Object Buffer: A Storage Management Technique for Object-Oriented Databases. His advisors were Barbara Liskov and Frans Kaashoek.[6]
"
Gibbons,0,0,
Gilbert,19,0,"Ph.D., University of Cincinnati, Cincinnati, Ohio, 2000 (Computer Science); dissertation: ""Arthur: An Intelligent Tutoring System with Adaptive Instruction""[11]
"
Giles,7,0,
Ginsburg,0,0,
Glass,0,24,
